id,count_dup
29,7
35,4
125,4
148,5
149,4
150,4
151,6
152,6
154,3
157,7
169,7
252,7
253,5
254,4
255,4
257,3
258,3
259,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
272,3
292,3
293,2
294,3
296,3
297,3
298,0
299,3
310,3
314,2
315,3
337,3
340,3
408,3
448,2
473,2
504,0
512,1
521,2
536,0
538,0
548,2
553,3
564,0
568,3
581,2
587,0
605,3
607,3
615,3
616,3
619,3
623,0
640,3
644,0
648,0
657,1
658,0
659,0
669,0
677,0
692,3
701,0
703,3
724,0
726,0
727,0
728,0
732,0
740,3
746,0
155,3
156,7
290,3
314,2
318,3
324,3
497,3
